2024-10-20 18:10:40,981:ERROR:Exception fetching data for Congress 96, Bill hr 5685, Endpoint 'sponsors'.
2024-10-20 18:15:30,473:ERROR:Exception fetching data for Congress 98, Bill hr 6292, Endpoint 'cosponsors'.
2024-10-20 18:15:32,406:ERROR:Exception fetching data for Congress 98, Bill hr 6284, Endpoint 'relatedbills'.
2024-10-20 18:15:32,438:ERROR:Exception fetching data for Congress 98, Bill hr 6212, Endpoint 'sponsors'.
2024-10-20 18:15:32,806:ERROR:Exception fetching data for Congress 98, Bill hr 6292, Endpoint 'summaries'.
2024-10-20 18:15:32,821:ERROR:Exception fetching data for Congress 98, Bill hr 6284, Endpoint 'amendments'.
2024-10-20 18:18:21,014:ERROR:HTTP error 502 fetching data for Congress 99, Bill hr 365, Endpoint 'subjects'.
2024-10-20 18:22:32,811:ERROR:HTTP error 502 fetching data for Congress 101, Bill hr 3984, Endpoint 'committees'.
2024-10-20 18:26:04,602:ERROR:HTTP error 500 fetching data for Congress 29, Bill hr 41, Endpoint 'committees'.
2024-10-20 18:26:04,620:ERROR:HTTP error 500 fetching data for Congress 29, Bill hr 41, Endpoint 'relatedbills'.
2024-10-20 18:26:04,634:ERROR:HTTP error 500 fetching data for Congress 29, Bill hr 41, Endpoint 'subjects'.
2024-10-20 18:26:04,638:ERROR:HTTP error 500 fetching data for Congress 29, Bill hr 41, Endpoint 'summaries'.
2024-10-20 18:26:04,655:ERROR:HTTP error 500 fetching data for Congress 29, Bill hr 41, Endpoint 'cosponsors'.
2024-10-20 18:26:04,728:ERROR:HTTP error 500 fetching data for Congress 29, Bill hr 41, Endpoint 'amendments'.
2024-10-20 18:26:04,847:ERROR:HTTP error 500 fetching data for Congress 29, Bill hr 41, Endpoint 'actions'.
2024-10-20 18:26:21,403:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'summaries'.
2024-10-20 18:26:21,415:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'cosponsors'.
2024-10-20 18:26:21,456:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'subjects'.
2024-10-20 18:26:21,456:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'amendments'.
2024-10-20 18:26:21,457:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'relatedbills'.
2024-10-20 18:26:21,480:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'summaries'.
2024-10-20 18:26:21,518:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'committees'.
2024-10-20 18:26:21,534:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 4, Endpoint 'actions'.
2024-10-20 18:26:21,562:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'subjects'.
2024-10-20 18:26:21,565:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'relatedbills'.
2024-10-20 18:26:21,572:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'amendments'.
2024-10-20 18:26:21,588:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'committees'.
2024-10-20 18:26:21,622:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'cosponsors'.
2024-10-20 18:26:21,624:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 2, Endpoint 'actions'.
2024-10-20 18:26:26,772:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 5, Endpoint 'subjects'.
2024-10-20 18:26:26,780:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 5, Endpoint 'amendments'.
2024-10-20 18:26:26,786:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 5, Endpoint 'actions'.
2024-10-20 18:26:26,790:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 5, Endpoint 'committees'.
2024-10-20 18:26:26,804:ERROR:HTTP error 500 fetching data for Congress 27, Bill sjres 3, Endpoint 'relatedbills'.
